"page_id","wikitext_length_bytes","template_count","image_count","reference_count","heading_count","internal_link_count","external_link_count","category_count","table_tag_count","paragraph_tag_count","rendered_html_length_bytes","render_expansion_ratio","html_tag_count","avg_response_time","is_slow"
1152406,3789,14,0,4,4,18,4,4,0,6,3053,0.8057534969648984,106,7.720000000000001,0
1152447,27879,54,1,46,10,124,87,17,0,25,16278,0.583880340040891,616,52.46,0
1152461,2325,8,0,5,2,14,6,7,0,6,2132,0.916989247311828,84,5.573333333333333,0
1152470,1836,9,0,1,1,17,3,6,0,4,1628,0.8867102396514162,68,4.706666666666667,0
1152473,10394,49,0,18,5,67,26,4,2,10,9610,0.9245718683856071,688,32.21333333333333,0
1152474,1587,10,0,1,1,13,1,5,0,5,1277,0.8046628859483301,64,5.1066666666666665,0
1152480,15651,65,27,16,2,130,19,1,1,4,17678,1.1295124912146188,1694,116.14666666666668,0
1152499,17416,3,0,4,42,44,3,3,39,9,21970,1.261483693155719,2924,400.75666666666666,1
1152502,15247,45,1,23,12,38,8,5,0,23,5187,0.34019807175182004,270,12.11,0
1152511,14236,24,0,10,10,14,3,3,0,22,3476,0.24416971059286316,140,19.006666666666668,0
1152521,37789,72,2,81,7,123,142,7,0,24,20063,0.5309216967900712,786,49.973333333333336,0
1152523,20564,145,0,86,10,87,28,3,2,11,14507,0.7054561369383389,1264,92.34666666666666,0
1152568,1342,1,1,1,2,12,0,3,0,7,1638,1.2205663189269746,40,4.613333333333333,0
1152575,4155,6,1,0,6,39,2,6,0,12,3371,0.8113116726835138,118,6.83,0
1152579,10507,5,0,3,15,9,5,2,0,19,3179,0.3025601979632626,80,16.166666666666664,0
1152636,24598,121,0,26,10,234,23,2,0,25,13379,0.5439060086185868,988,65.10666666666667,0
1152662,1841,0,0,0,3,35,0,2,0,5,3306,1.7957631721890277,232,8.006666666666668,0
1152676,25286,57,0,5,10,63,7,3,1,15,6196,0.24503677924543227,398,30.436666666666667,0
1152677,22921,60,0,8,10,84,4,2,1,15,6435,0.2807469133109376,446,37.27666666666667,0
1152678,26300,59,0,7,10,96,4,3,1,15,6655,0.253041825095057,456,32.43333333333333,0
1152679,28756,56,0,4,10,88,4,3,1,15,6754,0.23487272221449437,464,32.74666666666666,0
1152680,41345,80,0,8,10,93,10,3,1,16,8769,0.21209336074495103,634,41.33333333333333,0
1152681,34581,94,0,25,10,97,8,3,1,16,8455,0.24449842399005234,606,52.82666666666667,0
1152682,24249,74,0,24,9,62,4,3,1,14,6000,0.24743288383026105,396,31.396666666666665,0
1152684,27043,68,0,18,9,84,10,3,1,17,7763,0.28706134674407424,514,38.629999999999995,0
1152685,18072,48,0,10,9,67,12,2,0,19,5314,0.29404603806994245,400,266.17333333333335,1
1152687,19125,32,0,1,8,47,1,2,0,37,4556,0.23822222222222222,258,17.953333333333333,0
1152688,20338,28,0,2,8,53,2,2,0,46,4862,0.23905988789458157,282,13.62,0
1152689,21790,35,0,9,8,71,9,2,0,37,5629,0.2583295089490592,330,27.406666666666666,0
1152708,7322,24,0,9,6,41,7,3,0,7,5130,0.7006282436492761,228,10.426666666666666,0
1152778,25786,88,0,14,7,120,31,4,0,24,10556,0.4093694252695261,712,38.406666666666666,0
1152804,2422,12,0,4,1,11,2,6,0,8,2334,0.9636663914120561,74,19.76,0
1152820,26423,185,18,42,9,119,39,1,8,28,18881,0.7145668546342202,1700,106.83333333333333,0
1152829,17107,98,2,45,2,80,29,4,0,10,10421,0.6091658385456246,626,36.89666666666667,0
1152832,2226,7,0,4,1,10,6,1,0,4,1608,0.7223719676549866,64,5.786666666666666,0
1152836,1839,10,1,4,6,15,3,3,0,9,1594,0.8667754214246873,86,17.503333333333334,0
1152843,5392,13,1,0,3,35,5,2,0,9,3636,0.6743323442136498,128,8.88,0
1152849,80406,197,0,247,38,293,371,1,25,11,67219,0.835994826256747,5394,644.5733333333333,1
1152858,24070,198,22,32,6,110,27,1,7,20,17200,0.7145824678022434,1662,125.01333333333334,0
1152867,4757,20,0,10,5,34,11,8,0,10,3404,0.7155770443556864,176,24.563333333333333,0
1152875,6913,17,1,6,5,29,2,4,0,14,3539,0.5119340373209894,138,6.6499999999999995,0
1152883,419,1,1,0,0,4,0,1,0,4,503,1.2004773269689737,16,3.4499999999999997,0
1152888,3226,9,0,5,1,16,11,6,0,3,2248,0.6968381897086174,84,5.93,0
1152915,5474,23,0,14,3,19,14,3,0,6,3286,0.6002922908293752,152,13.813333333333333,0
1152920,20708,170,0,35,5,60,36,3,1,21,12828,0.6194707359474599,1080,77.48666666666666,0
1152921,18432,121,0,42,5,66,28,3,1,22,12674,0.6876085069444444,966,97.42666666666666,0
1152923,17776,123,0,34,5,62,26,3,1,17,12610,0.7093834383438344,1010,72.12,0
1152954,6353,25,1,8,9,31,8,1,0,12,4538,0.7143082008499921,184,23.603333333333335,0
1152968,3259,14,0,8,1,10,7,3,0,8,2063,0.6330162626572569,94,6.766666666666667,0
1152971,561,2,0,0,0,1,0,1,0,3,618,1.1016042780748663,16,3.3766666666666665,0
1152977,14358,23,0,58,7,124,13,11,3,7,16364,1.139713051957097,1712,87.35666666666667,0
1153070,3301,13,0,8,3,6,5,0,0,8,2654,0.803998788245986,80,5.696666666666666,0
1153121,6404,25,0,19,1,25,19,4,0,4,4118,0.6430356027482823,224,26.38,0
1153207,18434,50,1,43,10,73,46,9,0,23,10641,0.5772485624389715,454,32.5,0
1153251,29259,27,0,16,23,298,36,3,3,26,24987,0.8539936429816467,2278,341.49333333333334,1
1153256,28900,73,2,36,18,77,10,3,0,35,9329,0.32280276816609,752,39.413333333333334,0
1153268,2772,10,0,7,5,17,7,1,0,7,2725,0.983044733044733,130,20.52,0
1153269,2477,8,0,5,6,14,5,1,0,8,2512,1.0141299959628582,90,5.946666666666666,0
1153286,2418,11,0,4,1,8,4,3,0,8,1821,0.7531017369727047,70,7.113333333333333,0
1153367,8834,30,2,24,5,39,18,9,0,15,5639,0.6383291827031922,248,20.39,0
1153390,2503,9,0,5,1,21,6,1,0,6,1948,0.7782660807031562,98,6.25,0
1153405,5807,18,9,6,1,61,7,11,0,8,4204,0.7239538488031686,256,22.68,0
1153407,16987,88,0,32,6,62,30,3,3,6,9859,0.5803850002943427,676,36.3,0
1153419,1645,8,0,3,2,12,3,2,0,6,1709,1.0389057750759878,60,4.703333333333333,0
1153477,803,3,0,1,1,2,0,2,0,4,715,0.8904109589041096,20,4.16,0
1153530,206,1,1,0,0,3,0,1,0,3,279,1.354368932038835,14,3.24,0
1153535,2034,1,0,0,7,9,1,5,0,11,2702,1.328416912487709,70,4.323333333333333,0
1153576,5635,18,0,15,4,12,15,1,0,10,4349,0.7717834960070985,134,13.106666666666667,0
1153582,6465,10,0,8,11,18,9,1,3,18,4672,0.7226604795050271,288,12.893333333333334,0
1153585,60949,588,0,0,4,291,0,0,0,5,25918,0.4252407750742424,2352,190.65,0
1153586,83407,809,0,0,6,400,0,0,0,8,34224,0.41032527245914613,3234,544.7533333333333,1
1153589,103392,991,0,0,10,490,0,0,0,11,42002,0.4062403280718044,3966,423.69666666666666,1
1153592,77463,749,0,0,7,370,0,0,0,8,32243,0.4162374294824626,2994,633.0266666666666,1
1153593,16193,155,0,0,2,76,0,0,0,2,9144,0.5646884456246526,622,64.81,0
1153594,66300,631,0,0,3,313,0,0,0,3,28063,0.4232730015082956,2524,232.82999999999998,1
1153603,27541,267,0,0,2,132,0,0,0,2,13298,0.4828437602120475,1070,105.35,0
1153632,1848,8,0,2,2,15,7,3,0,7,2327,1.2591991341991342,98,10.56,0
1153636,2702,9,1,1,2,21,2,4,0,5,1679,0.6213915618060696,82,19.88,0
1153663,8100,29,1,16,10,32,18,3,0,11,5144,0.6350617283950617,256,14.85,0
1153664,13578,89,34,6,5,130,3,3,5,10,14044,1.0343202238915894,1352,89.54666666666667,0
1153775,76311,733,0,0,7,362,0,0,0,7,31892,0.4179214005844505,2932,491.32,1
1153776,49409,476,0,0,4,235,0,0,0,5,21684,0.4388674128195268,1904,169.00666666666666,0
1153777,72703,750,0,0,4,372,0,0,0,4,32594,0.44831712584074934,2998,267.31666666666666,1
1153778,37890,352,0,0,1,174,0,0,0,2,17498,0.4618105040907891,1406,376.5,1
1153779,43185,419,0,0,7,205,0,0,0,7,19392,0.44904480722473084,1676,154.50333333333333,0
1153780,73986,723,0,0,19,351,0,0,0,19,31438,0.4249182277728219,2890,278.7866666666667,1
1153781,42630,411,0,0,7,201,0,0,0,8,19321,0.4532254281022754,1642,431.31,1
1153782,68129,650,0,0,5,322,0,0,0,5,28964,0.42513467099179497,2602,227.70666666666665,1
1153783,70625,672,0,0,3,334,0,0,0,4,29644,0.41973805309734513,2690,239.84333333333333,1
1153784,57258,535,0,0,4,265,0,0,0,3,24828,0.43361626322959235,2142,190.13,0
1153785,54092,504,0,0,4,249,0,0,0,5,23666,0.43751386526658287,2016,405.8666666666667,1
1153786,70394,685,0,0,15,335,0,0,0,14,30065,0.4270960593232378,2744,227.77666666666664,1
1153787,94132,898,0,0,11,443,0,0,0,10,38943,0.4137062847915693,3594,560.2166666666667,1
1153853,286,4,1,0,0,4,0,1,0,4,394,1.3776223776223777,22,6.3533333333333335,0
1153879,1892,12,0,2,2,18,1,7,0,7,1772,0.9365750528541226,88,12.22,0
1153881,1971,6,1,2,1,11,4,1,0,6,1149,0.5829528158295282,52,9.64,0
1153890,2048,7,0,3,2,16,5,7,0,7,2302,1.1240234375,74,11.413333333333334,0
1153916,590,4,0,0,3,6,0,2,0,7,716,1.2135593220338983,38,5.1466666666666665,0
1153946,4997,14,0,6,4,28,12,2,0,7,4135,0.8274964978987392,142,10.59,0
1153947,34191,80,24,77,15,179,63,3,0,31,14219,0.41586967330584074,882,81.67666666666666,0
1153963,21300,53,4,46,14,128,36,2,0,43,10160,0.47699530516431926,542,38.263333333333335,0
1153979,12296,103,16,4,11,94,2,1,7,8,11769,0.9571405335068315,1084,92.91666666666667,0
1154128,15803,29,0,28,14,54,13,2,0,20,5768,0.3649939884831994,284,33.43666666666667,0
1154141,14610,81,0,37,19,110,42,2,1,32,10749,0.735728952772074,700,48.656666666666666,0
1154169,1869,10,0,3,2,16,2,5,0,6,1855,0.9925093632958801,128,21.16,0
1154269,460,1,1,0,1,5,1,2,0,4,619,1.3456521739130434,24,4.220000000000001,0
1154271,25952,12,0,6,6,149,8,1,0,12,12794,0.4929870530209618,1210,41.71666666666667,0
1154291,3754,12,0,2,7,11,6,6,0,13,4424,1.1784762919552478,222,23.843333333333334,0
1154362,27220,70,47,36,13,191,32,1,11,26,19569,0.7189199118295371,1418,133.88,0
1154365,6462,84,13,1,2,34,3,1,1,5,5668,0.8771278242030331,482,34.14666666666666,0
1154388,3572,13,0,5,4,29,6,1,0,7,2592,0.7256438969764838,148,7.696666666666666,0
1154480,14110,28,2,19,6,84,19,3,0,14,6588,0.4669029057406095,342,30.84,0
1154507,423,2,0,0,1,6,1,2,0,5,607,1.4349881796690307,28,4.963333333333333,0
1154602,980,3,0,0,0,11,0,8,0,2,1467,1.4969387755102042,36,249.00666666666666,1
1154660,575,3,0,1,1,5,1,3,0,2,617,1.0730434782608695,28,7.406666666666667,0
1154665,4569,15,0,8,1,21,9,3,0,5,2031,0.4445173998686802,112,14.606666666666666,0
1154672,83926,810,0,0,13,398,0,0,0,14,34928,0.41617615518432904,3242,319.5366666666667,1
1154674,100907,965,0,0,5,479,0,0,0,6,40939,0.4057102084097238,3856,590.73,1
1154676,48517,464,0,0,5,229,0,0,0,4,21518,0.4435146443514644,1858,172.68666666666667,0
1154677,64256,613,0,0,4,304,0,0,0,4,27382,0.42613919322709165,2454,228.00666666666666,1
