page_id,run_number,response_time_ms,status_code,success,error
9727,2,205.01,200,1,
9727,3,200.96,200,1,
9728,1,232.25,200,1,
9728,2,292.79,200,1,
9728,3,192.79,200,1,
9729,1,95.95,200,1,
9729,2,100.64,200,1,
9729,3,181.26,200,1,
9730,1,42.89,200,1,
9730,2,96.06,200,1,
9730,3,95.67,200,1,
9731,1,185.24,200,1,
9731,2,96.08,200,1,
9731,3,88.2,200,1,
9735,1,40.01,200,1,
9735,2,100.12,200,1,
9735,3,168.84,200,1,
9736,1,91.26,200,1,
9736,2,95.49,200,1,
9736,3,133.82,200,1,
9737,1,104.63,200,1,
9737,2,159.34,200,1,
9737,3,102.18,200,1,
9791,1,136.36,200,1,
9791,2,192.07,200,1,
9791,3,213.2,200,1,
9795,1,256.67,200,1,
9795,2,201.96,200,1,
9795,3,124.6,200,1,
9807,1,115.4,200,1,
9807,2,185.2,200,1,
9807,3,188.04,200,1,
9808,1,123.63,200,1,
9808,2,174.38,200,1,
9808,3,125.49,200,1,
9813,1,272.09,200,1,
9813,2,134.16,200,1,
9813,3,255.61,200,1,
9817,1,16.01,200,1,
9817,2,16.86,200,1,
9817,3,11.98,200,1,
9820,1,263.99,200,1,
9820,2,131.33,200,1,
9820,3,177.79,200,1,
9823,1,119.06,200,1,
9823,2,105.74,200,1,
9823,3,154.93,200,1,
9825,1,96.98,200,1,
9825,2,135.54,200,1,
9825,3,100.47,200,1,
9827,1,94.46,200,1,
9827,2,96.28,200,1,
9827,3,115.12,200,1,
9835,1,161.65,200,1,
9835,2,105.32,200,1,
9835,3,104.2,200,1,
9836,1,120.64,200,1,
9836,2,105.8,200,1,
9836,3,100.9,200,1,
9837,1,94.48,200,1,
9837,2,164.4,200,1,
9837,3,46.25,200,1,
9838,1,174.08,200,1,
9838,2,129.26,200,1,
9838,3,161.5,200,1,
9840,1,106.67,200,1,
9840,2,97.82,200,1,
9840,3,117.53,200,1,
9842,1,103.04,200,1,
9842,2,104.22,200,1,
9842,3,96.56,200,1,
9843,1,170.12,200,1,
9843,2,101.71,200,1,
9843,3,95.77,200,1,
9845,1,48.03,200,1,
9845,2,169.36,200,1,
9845,3,94.14,200,1,
9846,1,97.17,200,1,
9846,2,98.12,200,1,
9846,3,115.07,200,1,
9847,1,93.85,200,1,
9847,2,95.9,200,1,
9847,3,101.01,200,1,
9849,1,122.25,200,1,
9849,2,97.41,200,1,
9849,3,93.22,200,1,
9860,1,109.11,200,1,
9860,2,177.15,200,1,
9860,3,106.69,200,1,
9861,1,110.22,200,1,
9861,2,170.9,200,1,
9861,3,104.85,200,1,
9862,1,117.48,200,1,
9862,2,103.1,200,1,
9862,3,178.27,200,1,
9863,1,101.6,200,1,
9863,2,104.47,200,1,
